buyer_id,first_name,last_name,phone_number,email,budget,preference,status,buyer_agent_id
1,Frances,Crist,+1 (005) 879-1566,Frances.Crist1@gmail.com,3100,renter,inactive,1451
2,Alfred,Altenwerth,+1 (912) 747-3608,Alfred84@hotmail.com,2800,renter,looking,3136
3,Tracy,Schmeler,+1 (584) 787-9845,Tracy_Schmeler@yahoo.com,5100,renter,inactive,3092
4,Velma,Frami,+1 (265) 429-4913,Velma.Frami39@yahoo.com,200,renter,inactive,375
5,Roderick,Torphy,+1 (117) 506-3627,Roderick40@gmail.com,3400,renter,looking,4698
6,Josh,Stokes,+1 (372) 376-5757,Josh59@yahoo.com,5000,renter,inactive,223
7,Saul,Lindgren,+1 (839) 627-3593,Saul.Lindgren46@hotmail.com,600,renter,inactive,1075
8,Leonard,Denesik,+1 (288) 970-7806,Leonard_Denesik3@yahoo.com,3600,renter,inactive,4835
9,Tammy,Brekke,+1 (220) 686-4495,Tammy_Brekke@hotmail.com,355000,buyer,looking,4214
10,Alma,Labadie,+1 (206) 183-1500,Alma.Labadie@hotmail.com,4400,renter,inactive,4880
11,Charlie,Doyle-Schroeder,+1 (576) 453-5831,Charlie62@yahoo.com,4100,renter,looking,4628
12,Aubrey,Murphy,+1 (830) 521-5450,Aubrey_Murphy@hotmail.com,2505000,buyer,looking,1405
13,Katrina,Prosacco,+1 (827) 116-8190,Katrina.Prosacco80@hotmail.com,1400,renter,looking,3874
14,Carlton,Konopelski,+1 (087) 091-8615,Carlton_Konopelski21@yahoo.com,4500,renter,inactive,3766
15,Wilma,Shanahan-Herman,+1 (968) 083-8623,Wilma.Shanahan-Herman74@gmail.com,5100,renter,inactive,2003
16,Kerry,Yundt,+1 (970) 259-3724,Kerry_Yundt5@yahoo.com,3200,renter,inactive,4169
17,Lance,Hoeger-Schowalter,+1 (209) 113-4562,Lance_Hoeger-Schowalter52@hotmail.com,4100,renter,looking,1216
18,Josefina,Senger,+1 (486) 396-7589,Josefina.Senger@yahoo.com,700,renter,inactive,4976
19,Jamie,O'Kon,+1 (458) 192-4041,Jamie_OKon25@yahoo.com,1500,renter,looking,3449
20,Brooke,Heller,+1 (599) 265-5700,Brooke85@yahoo.com,4600,renter,inactive,269
21,Roderick,McLaughlin,+1 (391) 369-5280,Roderick31@gmail.com,1955000,buyer,looking,4136
22,Jeffery,Greenfelder,+1 (489) 444-2596,Jeffery.Greenfelder4@hotmail.com,2100,renter,looking,1637
23,Daryl,Bechtelar,+1 (087) 464-5427,Daryl_Bechtelar@gmail.com,2780000,buyer,looking,3898
24,Renee,Fadel,+1 (846) 475-3357,Renee.Fadel@gmail.com,2700,renter,inactive,1750
25,Neil,Mitchell,+1 (517) 713-7621,Neil_Mitchell20@hotmail.com,1900,renter,inactive,4563
26,Kristie,Labadie,+1 (365) 886-9322,Kristie_Labadie11@gmail.com,2400,renter,inactive,1868
27,Joan,Gutmann,+1 (605) 359-4949,Joan45@hotmail.com,1200,renter,inactive,526
28,Tara,O'Connell,+1 (600) 967-5645,Tara_OConnell39@yahoo.com,2730000,buyer,inactive,951
29,George,Funk,+1 (904) 779-0971,George.Funk@gmail.com,1700,renter,looking,1091
30,Wesley,Emard,+1 (028) 887-9232,Wesley.Emard@gmail.com,730000,buyer,looking,3435
31,Tyrone,Klein,+1 (252) 903-4933,Tyrone_Klein42@hotmail.com,2155000,buyer,inactive,2547
32,Louise,Kilback,+1 (863) 580-6675,Louise22@hotmail.com,1805000,buyer,looking,1471
33,Priscilla,Graham,+1 (113) 225-8018,Priscilla68@yahoo.com,2855000,buyer,inactive,1361
34,Eula,Mills,+1 (556) 749-6478,Eula.Mills@hotmail.com,3300,renter,looking,4261
35,Richard,Lebsack,+1 (871) 156-8957,Richard52@yahoo.com,3655000,buyer,inactive,989
36,Christy,Kertzmann,+1 (702) 804-2813,Christy.Kertzmann82@hotmail.com,800,renter,inactive,2989
37,Kelvin,Nienow,+1 (709) 691-7201,Kelvin_Nienow@hotmail.com,980000,buyer,looking,2524
38,Tina,Sawayn,+1 (157) 942-1708,Tina.Sawayn@gmail.com,1905000,buyer,looking,4780
39,Jeremiah,Lakin,+1 (956) 526-9786,Jeremiah29@gmail.com,3105000,buyer,inactive,407
40,Eduardo,Wyman,+1 (407) 173-6649,Eduardo_Wyman@gmail.com,1280000,buyer,looking,1557
41,Emilio,Satterfield,+1 (104) 292-0491,Emilio_Satterfield@yahoo.com,2230000,buyer,looking,4723
42,Tommy,Gorczany,+1 (732) 215-4221,Tommy56@yahoo.com,3400,renter,inactive,4480
43,June,Bergstrom,+1 (266) 314-0047,June.Bergstrom78@yahoo.com,3980000,buyer,looking,3917
44,Caroline,Bogisich,+1 (814) 304-6830,Caroline_Bogisich@gmail.com,2600,renter,inactive,411
45,Willis,Will,+1 (011) 197-9762,Willis84@gmail.com,3200,renter,looking,4412
46,Ted,Funk,+1 (354) 991-8713,Ted41@yahoo.com,1705000,buyer,inactive,940
47,Celia,Bode,+1 (734) 312-4306,Celia.Bode35@gmail.com,1100,renter,inactive,4427
48,Cesar,Bernhard,+1 (458) 505-9548,Cesar.Bernhard@gmail.com,4700,renter,inactive,3225
49,Erick,Waters,+1 (153) 504-7843,Erick48@hotmail.com,4900,renter,inactive,1200
50,Carmen,Fadel,+1 (494) 644-6214,Carmen88@yahoo.com,3555000,buyer,looking,1031
51,Audrey,Wunsch,+1 (193) 264-1350,Audrey.Wunsch@yahoo.com,700,renter,inactive,4313
52,Muriel,Robel,+1 (578) 129-5023,Muriel24@yahoo.com,4030000,buyer,looking,112
53,Veronica,Waelchi,+1 (611) 416-5115,Veronica81@gmail.com,700,renter,inactive,2658
54,Justin,Hessel-Davis,+1 (259) 414-5135,Justin_Hessel-Davis@hotmail.com,3055000,buyer,inactive,2714
