property#,owner_id,street_address,apt#,city,state,zip_code,home_type,bedrooms,bathrooms,sq_feet,lot_size,year_built,architecture,pool,property_taxes,condo_fees,when_bought,remaining_mortgage
1,9196,3479 Stroman Valleys,NULL,Ignacioboro,Florida,19173,house,5,3,3300,0.91,1965,colonial,Y, NULL ,40,2000,118740
2,7061,725 Enrico Ville,NULL,West Jazlyn,Georgia,18131,house,11,10,7000,1.93,1991,cape cod,N, NULL ,85,2011,137442.5
3,5777,73137 Tremblay Radial,NULL,Denton,Utah,9169,house,6,3,3800,1.05,1960,country,Y, NULL ,46,1998,148135
4,8207,662 Bernadette Garden,NULL,Country Club,South Carolina,16856,house,2,2,1700,0.47,1923,victorian,N, NULL ,20,2011,32987.5
5,6034,893 Sven Trail,NULL,Port Demetris,South Dakota,418,house,11,7,6700,1.84,1940,tudor,Y, NULL ,81,2014,100900
6,5260,3993 Baumbach Trail,NULL,New Ninafort,Pennsylvania,18826,house,12,11,7600,2.09,1973,craftsman,N, NULL ,92,1984,459300
7,6139,581 Ondricka Circles,NULL,Port Willie,Louisiana,92706,house,1,1,1100,0.3,1944,cottage,Y, NULL ,13,1996,45500
8,3564,203 MacGyver Harbors,NULL,North Lupe,Arizona,54576,house,10,10,6500,1.79,2005,mediterranean,N, NULL ,79,2007,166982.5
9,4992,66251 Lesch Burgs,NULL,East Garfield,Michigan,10914,house,6,2,3700,1.02,1946,ranch,N, NULL ,44,2011,71987.5
10,1444,6458 Darrell Knoll,NULL,Casperfurt,Georgia,81347,house,3,2,2200,0.61,1997,contemporary,N, NULL ,26,2018,19725
11,8710,905 Kuhn Ridge,NULL,St. Clair Shores,Oregon,49513,house,12,9,7400,2.04,1929,italian,N, NULL ,89,2013,122787.5
12,427,623 West Freeway,NULL,Marquardtworth,Utah,71922,house,8,1,4600,1.27,1954,georgian,N, NULL ,55,2012,82500
13,7731,6600 Wiza Way,NULL,Castle Rock,Michigan,58517,house,2,2,1700,0.47,1945,greek,Y, NULL ,20,2019,12687.5
14,9753,205 Sipes Coves,NULL,North Christopherport,Minnesota,68623,house,2,2,1700,0.47,1921,french,Y, NULL ,20,1991,83737.5
15,8752,80348 Alexander Prairie,NULL,Fremont,Connecticut,95956,house,12,4,6900,1.9,2008,modern,Y, NULL ,83,2013,113932.5
16,1656,401 Cole Throughway,NULL,Fort Vinnieport,Georgia,25081,house,11,11,7100,1.95,1925,gothic,N, NULL ,86,1996,300510
17,8299,56156 Lonnie Pine,NULL,Fernandofield,Delaware,99739,house,8,8,5300,1.46,2019,prairie,Y, NULL ,64,2017,56000
18,8588,9419 Wava Vista,NULL,Sanfordfort,Iowa,55362,house,3,3,2300,0.63,1985,rowhouse,Y, NULL ,28,2015,31027.5
19,8818,94656 Morissette Ports,NULL,Fort Chanelle,California,14618,house,9,8,5800,1.6,1996,antebellum,Y, NULL ,70,2002,192500
20,9002,6293 Stanley Cape,NULL,North Trycia,South Carolina,76626,house,4,2,2700,0.74,2009,federal,Y, NULL ,32,2010,56525
21,4906,939 Domingo View,NULL,Hassanstad,Kentucky,52098,house,11,9,6900,1.9,1925,farmhouse,Y, NULL ,83,2016,83300
22,8657,821 Salvatore Knolls,NULL,Clifton,Connecticut,10073,house,11,4,6400,1.76,1958,saltbox,N, NULL ,77,1987,355477.5
23,9902,21471 Jessica Track,NULL,Sioux Falls,Michigan,49139,house,8,3,4800,1.32,2013,A-frame,N, NULL ,58,2008,115160
24,8464,65649 Fritsch Flats,NULL,Langworthside,Indiana,42700,house,12,1,6600,1.82,1954,spanish,N, NULL ,79,2001,227125
25,2127,72439 Price Rapid,NULL,Chayaview,Indiana,68185,house,3,2,2200,0.61,1959,cabin,N, NULL ,26,1995,95337.5
26,7967,7144 Ledner Squares,NULL,Fletatown,South Dakota,51253,house,5,4,3400,0.94,2023,colonial,N, NULL ,41,2009,76612.5
27,7731,7441 Aufderhar Cape,NULL,Estevanbury,Idaho,13654,house,3,2,2200,0.61,1986,cape cod,Y, NULL ,26,2012,39450
28,8268,55183 Kiera Burg,NULL,North Dustin,Pennsylvania,15766,house,7,1,4100,1.13,2002,country,Y, NULL ,49,2002,134750
29,2277,83933 Lilliana Burg,NULL,Somerville,West Virginia,45004,house,1,1,1100,0.3,1974,victorian,Y, NULL ,13,2008,26000
30,3542,475 Dixie Center,NULL,Beerstead,Wyoming,63708,house,1,1,1100,0.3,1973,tudor,Y, NULL ,13,1996,45500
31,6067,47556 Lubowitz Shoal,NULL,South Akeem,Montana,12772,house,12,7,7200,1.98,2021,craftsman,Y, NULL ,87,2016,86720
32,6236,918 Haag Hill,NULL,Lempiburgh,Indiana,17964,house,6,5,4000,1.1,1933,cottage,N, NULL ,48,1987,222647.5
33,7182,38473 Liana Haven,NULL,Kuhicton,Delaware,87064,house,3,1,2100,0.58,1982,mediterranean,Y, NULL ,25,1989,109375
34,3641,281 Cummings Garden,NULL,Dickiboro,Colorado,33501,house,1,1,1100,0.3,2020,ranch,Y, NULL ,13,1999,40625
35,1618,39508 Justine Walks,NULL,Albany,North Dakota,73896,house,8,3,4800,1.32,1981,contemporary,N, NULL ,58,1988,259110
36,4154,999 Oberbrunner Meadow,NULL,Gleichnerview,Mississippi,27462,house,7,1,4100,1.13,2006,italian,Y, NULL ,49,2010,85750
37,8207,8111 Block Via,NULL,New Therese,Colorado,4376,house,5,1,3100,0.85,1940,georgian,Y, NULL ,37,1995,134125
38,1627,738 Casper Vista,NULL,Port Robbie,Oregon,72841,house,12,3,6800,1.87,1927,greek,N, NULL ,82,2009,152962.5
39,3197,3710 Hilll Mills,NULL,Juliusmouth,Wyoming,82270,house,8,7,5200,1.43,1930,french,N, NULL ,63,2006,141120
40,7948,5718 Ernest Ridge,NULL,Macieshire,Indiana,27121,house,7,7,4700,1.29,2003,modern,N, NULL ,57,2000,170160
41,8831,67987 Tamara Highway,NULL,Whittier,Alaska,12077,house,7,7,4700,1.29,1944,gothic,N, NULL ,57,2023,7090
42,5901,89957 Robin Fields,NULL,Carson City,Maryland,57767,house,9,4,5400,1.49,1935,prairie,N, NULL ,65,1995,235117.5
43,8948,46529 Abshire Cove,NULL,DuBuquefurt,Connecticut,97003,house,4,3,2800,0.77,2001,rowhouse,Y, NULL ,34,1986,159505
44,1301,526 Satterfield Turnpike,NULL,Erdmanport,Montana,49157,house,10,4,5900,1.62,1989,antebellum,N, NULL ,71,2000,212580
45,6089,33330 Pattie Point,NULL,Brockton,Hawaii,12834,house,6,4,3900,1.07,1950,federal,N, NULL ,47,1989,205012.5
46,4001,28569 Betty Flats,NULL,Schowalterhaven,North Dakota,50041,house,7,5,4500,1.24,1923,farmhouse,N, NULL ,54,2000,162420
47,8026,1032 Ova Well,NULL,Kirkborough,New Jersey,15358,house,12,6,7100,1.95,1947,saltbox,N, NULL ,85,2000,256320
48,3974,922 Roscoe Pine,NULL,Jordynfort,Connecticut,80511,house,8,6,5100,1.4,2021,A-frame,Y, NULL ,61,1996,215040
49,8892,73605 Volkman Estate,NULL,Zulauffield,Arkansas,44185,house,7,2,4200,1.16,2015,spanish,Y, NULL ,50,2000,150900
50,3718,86329 Elissa Falls,NULL,North Eldridge,Idaho,83397,house,12,12,7700,2.12,1981,cabin,Y, NULL ,93,1993,360917.5
